【人生最美的是淡然】淡淡的哀愁千丝万缕，淡淡的思念绵长浓厚，淡淡的牵挂悠远永久，淡淡的寂寞独品生命中的无奈，淡淡的红尘，淡淡的岁月，淡淡地欣赏旅途中的风光，淡淡地享受着自己所拥有的，淡淡地应对人生中的风风雨雨……淡淡地对待一切.一切，自然就风轻云淡了，因为淡淡的，所以我快乐着。 
一对夫妇欲探试儿子将来从业动向，就在客厅桌上放置一本圣经(宗教)、一张10美元(从商)和一瓶酒(社会)，躲在门后窥视。 儿子回家，发现桌上物品，环顾四周确认无人后，装上美元，夹上圣经，拎起酒瓶，若无其事般径直走入他的房间。 夫妇惊叹：妈呀，他将来要从政 
如果你心里有一种渴望那必然是因为你对现实的不满意，如果你想要渡河到对岸那必然是因为河的这以一边不够美丽。 
12岁的澳洲小朋友克拉克，骑车送报时结识了小女孩琼，两人长大后相爱结婚。62年过去，琼患上了老年失忆症，甚至不认识相濡以沫的丈夫，只记得少女时代的青涩往事。于是克拉克老头蹬起自行车，成为了澳洲年纪最老的送报人。9旬老翁、让爱妻仍然生活在小女孩时代的甜蜜梦境中。 
【求助】刚才外出办事回单位，看到一女同事带几个月的孩子。于是想过去逗逗，看到孩子正好在吃奶。本来想夸“好白的孩子啊！”一张嘴就成了“好白的奶子啊！”我现在不知道怎么回单位了，到现在还在外面站着！！！我该怎么办啊…… 
美，有时是不能采摘的。比如，早晨的露珠玲珑晶莹，一旦把它们采集下来，那珍珠般的光泽就会立刻荡然无存。美，有时是不能近观的。比如，远山如黛，美丽而且神奇，可当你真的走近了它，才发现那不过是一大堆冷漠的石头。美，有时是不能触摸的。比如，水中的月影....美感原来是一种近乎神圣的感觉。 
 你不知道的旅行 ggggg 有人说，如果你很想要一样东西，就放它走。如果它回来找你，那么它永远都是你的。要是它没有回来，那么不用再等了，因为它根本就不是你的！——《海滩》 
 你不知道的旅行 ggggg 【好女人的8条标准】1.身体发育完好，虽不娇美，却不失健康本色。2.聪明可爱，也会装疯卖傻。3.知书识礼，尊重对方。4.顺从听话，却不失个性独立。5.知足常乐，不给男人过高的要求。6.角色多变，本色依然。7.爱屋及乌，宽容博爱。8.帮助男人，成就男人。 
 工行微博惊喜大放送转发赢iPhone4S ggggg 
 工行微博惊喜大放送转发赢iPhone4S ggggg  地址： uuuuu  
我在“CD视觉婚纱摄影最强折扣--轻轻一点情侣杯挥手而来！”大转盘活动中抽中一等奖：情侣杯  uuuuu  
“CD视觉婚纱摄影最强折扣--轻轻一点情侣杯挥手而来！”，这个活动推荐给大家，点击 uuuuu   进入 
“ 变形金刚3 ggggg 正品玩具疯狂送！”，这个活动推荐给大家，点击 uuuuu   进入 
“庆伊诚地产更名送好礼（第一期）”，这个活动推荐给大家，点击 uuuuu   进入 
“【你的婚礼微博买单】红酒星空万元爱之酒免费送到你家！”，这个活动推荐给大家，点击 uuuuu   进入 
小猪妖well荣誉美粉称号 
“转转转！轮盘转出超级大礼！ itouch4各类游戏点卡等你拿！”，这个活动推荐给大家，点击 uuuuu   进入 
“我爱巴法络-BUFFALO，幸运金蛋惊喜送”，这个活动推荐给大家，点击 uuuuu   进入 
“赢免费“全聚德”烤鸭送到家！”，这个活动推荐给大家，点击 uuuuu   进入 
我在“玩《永恒之塔》转盘 【手机、T恤】等万份奖品派送！”大转盘活动中抽中四等奖：新手20小时游戏时间  uuuuu  
“玩《永恒之塔》转盘 【手机、T恤】等万份奖品派送！”，这个活动推荐给大家，点击 uuuuu   进入 
““雪佛兰百年庆典”衡阳富运4S店有大礼啦！”，这个活动推荐给大家，点击 uuuuu   进入 
“关注拉芙 时尚女包免费大派送，让您这个夏季不再单调”，这个活动推荐给大家，点击 uuuuu   进入 
“HI-TEC将幸运进行到底给力大转盘送户外装备”，这个活动推荐给大家，点击 uuuuu   进入 
“梦芭莎万元好礼免费送 高档坡跟鞋 雪纺家居裙 迷你手包送送送！”，这个活动推荐给大家，点击 uuuuu   进入 
“幸运集卡片，赢IPAD大奖！”，这个活动推荐给大家，点击 uuuuu   进入 
“【超可爱迷你冰箱】【500元话费】大放送！玩电脑喝冰镇可乐啊！”，这个活动推荐给大家，点击 uuuuu   进入 
“#ABC儿童用品# 玩转盘赢大奖，送炫酷童装、精美童鞋、可爱公仔！”，这个活动推荐给大家，点击 uuuuu   进入 
“【爱奢购】五彩夏日，CHANEL香奈儿、O.P.I指甲油给你好看！”，这个活动推荐给大家，点击 uuuuu   进入 
“ 有奖转盘，月饼券，面包券通通拿回家 ggggg ”，这个活动推荐给大家，点击 uuuuu   进入 
“【上海粉丝专属】豆浆机,电烤箱,海量点评团抵用券等你来拿！”，这个活动推荐给大家，点击 uuuuu   进入 
“广汽凯美瑞珍藏版车模等你拿”，这个活动推荐给大家，点击 uuuuu   进入 
“数码相机免费送，关注就送30元现金共30万名参加就有奖!”，这个活动推荐给大家，点击 uuuuu   进入 
“女人最爱！莱俪女士香水 兰蔻奇迹薄纱粉底液免费送！”，这个活动推荐给大家，点击 uuuuu   进入 
“【我们结婚吧】赢1098元静佳Jplus自然呼吸美白大礼！100%有奖”，这个活动推荐给大家，点击 uuuuu   进入 
““转一转，转出好心情，顾家家居送您真皮纸巾盒””，这个活动推荐给大家，点击 uuuuu   进入 
我在“ 千色 ggggg 幸运大转轮”大转盘活动中抽中三等奖：千色店10元代金劵  uuuuu  
“ 千色 ggggg 幸运大转轮”，这个活动推荐给大家，点击 uuuuu   进入 
我在“送礼恒久远 话费永流转”大转盘活动中抽中五等奖：粉丝后援团  uuuuu  
“送礼恒久远 话费永流转”，这个活动推荐给大家，点击 uuuuu   进入 
“百元话费免费送，关注就送30元现金共30万名参加就有奖”，这个活动推荐给大家，点击 uuuuu   进入 
我在“苹果全系列10件套免费送”活动中报名了，点击  uuuuu   进入 
